medication_id,medication_name
172,MD GASTROVIEW
173,TAZORAC
174,PRED-G
175,BLEPHAMIDE
176,FML
177,Asacol
178,BOTOX
179,Acular
180,LUMIGAN
181,OZURDEX
182,ACUVAIL
183,ZYMAXID
184,LATISSE
185,ACZONE
186,BOTOX Cosmetic
187,LASTACAFT
188,BETAGAN
189,VANIQA
190,"ACZONE (dapsone) Gel, 7.5%"
191,RHOFADE
192,Restasis MultiDose
193,GELNIQUE
194,Delzicol
195,LILETTA
196,Taytulla
197,Femring
198,Cordran
199,Byvalson
200,Asacol HD
201,Trelstar
202,Nuvessa
203,FEMCON Fe
204,Androderm
205,Norco
206,Fiorinal with Codeine
207,Kadian
208,GENERESS Fe
209,Zenpep
210,Polytrim
211,AZELEX
212,ALOCRIL
213,RESTASIS
214,ALPHAGAN P
215,ELESTAT
216,COMBIGAN
217,AVAGE
218,ACULAR LS
219,Demerol
220,DRISDOL
221,ELOXATIN
222,Phisohex
223,Plaquenil
224,Primaquine Phosphate
225,Ferrlecit
226,Multaq
227,Elitek
228,Ambien
229,ADLYXIN
230,Soliqua 100/33
231,Xyzal
232,Aplenzin
233,Jevtana
234,ZALTRAP
235,Leukine
236,Avapro
237,Avalide
238,Clolar
239,Mozobil
240,TOUJEO
241,Afrezza
242,Praluent
243,KEVZARA
244,Dupixent
245,Lomotil
246,Synarel
247,Aldactone
248,ALDACTAZIDE
249,Daypro
250,ARTHROTEC
251,Cytotec
252,CELEBREX
253,Inspra
254,Flagyl
255,CALAN
256,CALAN SR
257,Norpace CR
258,Norpace
259,BACTROBAN
260,Creon
261,Prometrium
262,sfRowasa
263,Rowasa
264,PreferaOB plus DHA
265,PreferaOB
266,PreferaOB ONE
267,Butisol Sodium
268,Astepro
269,DYMISTA
270,Felbatol
271,Gastrocrom
272,Cesamet
273,Soma
274,Demadex
275,Depen
276,ELESTRIN
277,Edluar
278,Natelle One
279,URELLE
280,AVC
281,COLYTE
282,PROCTOFOAM
283,EPIFOAM
284,Cortifoam
285,Dipentum
286,BiferaRx
287,Aerospan
288,MUSE
289,Levsin
290,DiaBeta
291,Lasix
292,AMARYL
293,Oral-B NeutraCare Mint
294,Oral-B Minute-Foam Banana Splitz
295,Oral-B Minute-Foam Mellow Mint
296,Oral-B Minute-Foam Orang-A-Tangy
297,Oral-B Minute-Foam Bubble Gum
298,Oral-B Minute-Foam Strawberry
299,Oral-B Minute-Foam Grape Punch
300,Oral-B Neutra-Foam Mint
301,Premarin
302,Phospholine Iodide
303,Prempro
304,Premphase
305,UNASYN
306,Geodon
307,ERAXIS
308,Glucotrol
309,Pfizerpen
310,Antivert
311,Relpax
312,Cardura
313,VFEND
314,Diflucan
315,Zoloft
316,Marinol
317,Androgel
318,REMERON
319,REMERONSOLTAB
320,SAPHRIS
321,Desogen
322,IMPLANON
323,NuvaRing
324,Nexplanon
325,CYCLESSA
326,Ganirelix Acetate
327,Follistim AQ
328,Pregnyl
329,Zemuron
330,TICE BCG
331,Stimate
332,Fluconazole
333,Calcitriol
334,Flecainide Acetate
335,PredniSONE
336,Lithium Carbonate
337,Mefloquine Hydrochloride
338,Cilostazol
339,Clarithromycin
340,Ipratropium Bromide
341,Digoxin
342,Citalopram
343,Risperidone
344,Ondansetron Hydrochloride
345,Torsemide
346,Balsalazide Disodium
347,Exemestane
348,Zaleplon
349,Zolpidem Tartrate
350,Calcium Acetate
351,Galantamine
352,Oxcarbazepine
353,Amlodipine Besylate
354,Ramipril
355,Perindopril Erbumine
356,Valacyclovir
357,Ropinirole
358,Losartan Potassium
359,Losartan Potassium and Hydrochlorothiazide
360,Galantamine Hydrobromide
361,Acarbose
362,Granisetron Hydrochloride
363,Mycophenolate Mofetil
364,Anastrozole
365,Buprenorphine HCl
366,buprenorphine hydrochloride and naloxone hydrochloride dihydrate
367,Famciclovir
368,Protriptyline Hydrochloride
369,Quetiapine Fumarate
370,Levetiracetam
371,meloxicam
372,Morphine Sulfate
373,Codeine sulfate
374,Irbesartan
375,Irbesartan and Hydrochlorothiazide
376,Montelukast Sodium
377,Hydromorphone Hydrochloride
378,Letrozole
379,Capecitabine
380,Imipramine Pamoate
381,Naratriptan
382,Oxymorphone Hydrochloride
383,eszopiclone
384,Azelastine Hydrochloride
385,Alosetron Hydrochloride
386,Linezolid
387,Temozolomide
388,Cevimeline Hydrochloride
389,Doxercalciferol
390,Tinidazole
391,Phenoxybenzamine Hydrochloride
392,Disulfiram
393,Sodium Polystyrene Sulfonate
394,Cyclophosphamide
395,Methamphetamine Hydrochloride
396,oxycodone hydrochloride
397,Methadone Hydrochloride
398,Dutasteride
399,Desvenlafaxine
400,Ethacrynic Acid
401,Dipyridamole
402,LEVORPHANOL TARTRATE
403,Nevirapine
404,Telmisartan
405,telmisartan and hydrochlorothiazide
406,Lidocaine Viscous
407,Oxycodone and Acetaminophen
408,aspirin and dipyridamole
409,Alprazolam
410,Butorphanol Tartrate
411,Dexamethasone Intensol
412,Dexamethasone
413,Diazepam Intensol
414,Diazepam
415,Diphenoxylate Hydrochloride and Atropine Sulfate
416,Fluticasone Propionate
417,Furosemide
418,Lactulose
419,Lidocaine Hydrochloride
420,Lithium
421,Lorazepam
422,Megestrol Acetate
423,Meperidine Hydrochloride
424,Midazolam Hydrochloride
425,Roxicet
426,PredniSONE Intensol
427,Propranolol Hydrochloride
428,Clotrimazole
429,DOLOPHINE
430,Leucovorin Calcium
431,DISKETS
432,Methotrexate Sodium
433,Mercaptopurine
434,Propantheline Bromide
435,COUMADIN
436,SUSTIVA
437,NEVANAC
438,MOXEZA
439,MIOSTAT
440,FLUORESCITE
441,Flarex
442,Betoptic S
443,Travatan Z
444,Patanol
445,PATADAY
446,Azopt
447,Isopto Atropine
448,EMADINE
449,PATANASE
450,ALOMIDE
451,Mydriacyl
452,Cyclomydril
453,Cyclogyl
454,Betadine
455,TRIESENCE
456,Vexol
457,MAXITROL
458,OMNIPRED
459,Tobrex
460,NATACYN
461,TobraDex
462,TOBRADEX ST
463,CILOXAN
464,IOPIDINE
465,Tetracaine Hydrochloride
466,BSS
467,BSS PLUS
468,ILEVRO
469,VIGAMOX
470,SIMBRINZA
471,Pazeo
472,CIPRO
473,CIPRODEX
474,DUREZOL
475,Transderm Scop
476,Norpramin
477,Hiprex
478,Rifadin
479,Rifamate
480,Rifadin IV
481,Rifadin IV NOVAPLUS
482,Etomidate
483,Heparin Sodium
484,OXALIPLATIN
485,Topotecan Hydrochloride
486,paclitaxel
487,Mitoxantrone Hydrochloride
488,Cisplatin
489,Cladribine
490,Tobramycin Sulfate
491,FLUMAZENIL
492,Vecuronium Bromide
493,Doxycycline
494,ELELYSO
495,Pamidronate Disodium
496,Rifampin
497,HALOPERIDOL
498,Famotidine
499,Tessalon
500,BOSULIF
501,INLYTA
502,Methotrexate
503,Cytarabine
504,Fluorouracil
505,Doxorubicin Hydrochloride
506,DEXAMETHASONE SODIUM PHOSPHATE
507,Ibrance
508,Fragmin
509,Toviaz
510,Revatio
511,Zithromax
512,CHANTIX
513,XELJANZ
514,SUTENT
515,Ondansetron hydrochloride and dextrose
516,SELZENTRY
517,INFLECTRA
518,Vibramycin Hyclate
519,Vibramycin Monohydrate
520,Vibramycin Calcium
521,Ondansetron
522,Norvasc
523,Caduet
524,Metronidazole
525,Vancomycin Hydrochloride
526,STERILE VANCOMYCIN HYDROCHLORIDE
527,Procardia
528,Feldene
529,Ciprofloxacin
530,Gemcitabine Hydrochloride
531,ZMAX
532,Viagra
533,Minipress
534,Ifosfamide
535,Vistaril
536,CEREBYX
537,Tikosyn
538,Xalkori
539,Fludarabine Phosphate
540,Dilantin Infatabs
541,Lipitor
542,ACCURETIC
543,Zarontin
544,Nardil
545,Dilantin
546,Neurontin
547,Nitrostat
548,Celontin
549,Accupril
550,Lopid
551,Lyrica
552,Dilantin-125
553,Zinbryta
554,Viekira
555,Humira
556,Kaletra
557,Gengraf
558,Venclexta
559,Survanta
560,Lupaneta Pack
561,Depacon
562,Zemplar
563,Norvir
564,Lupron Depot-PED
565,Mavyret
566,Advicor
567,Duopa
568,K-Tab
569,Vicodin
570,Cardizem LA
571,Niaspan
572,Technivie
573,Viekira Pak
574,Trilipix
575,Tricor
576,Moderiba
577,Tarka
578,Simcor
579,Lupron Depot
580,Synthroid
581,Tridione
582,Depakote
583,Mivacron
584,Nimbex
585,Ultane
586,Depakene
587,DDAVP
588,Lovenox
589,NASACORT AQ
590,Rilutek
591,TAXOTERE
592,URIBEL
593,Hyophen
594,Phosphasal
595,Ustell
596,Sandimmune
597,Clozaril
598,Lamisil
599,Sandostatin
600,Neoral
601,Femara
602,Diovan HCT
603,Exelon
604,Comtan
605,Simulect
606,Trileptal
607,Vivelle-Dot
608,Starlix
609,Lescol
610,Diovan
611,Lotrel
612,Ritalin
613,Focalin
614,Myfortic
615,Zometa
616,Lopressor
617,Gleevec
618,Stalevo
619,Zortress
620,Reclast
621,Desferal
622,Exjade
623,VOLTAREN
624,Tekturna
625,Exforge
626,TOBI
627,Tegretol
628,Tekturna HCT
629,Tasigna
630,Tyzeka
631,Exforge HCT
632,Afinitor
633,COARTEM
634,EXTAVIA
635,Ilaris
636,FANAPT
637,Gilenya
638,Hecoria
639,Arcapta Neohaler
640,TOBI Podhaler
641,Signifor
642,COSENTYX
643,ZYKADIA
644,Signifor LAR
645,Odomzo
646,Sandostatin LAR Depot
647,FARYDAK
648,Jadenu
649,ENTRESTO
650,SEEBRI NEOHALER
651,UTIBRON NEOHALER
652,Mekinist
653,ARZERRA
654,VOTRIENT
655,TYKERB
656,ZOFRAN
657,Tafinlar
658,RYDAPT
659,KISQALI
660,KISQALI FEMARA CO-PACK
661,VICTRELIS
662,ELOCON
663,Guanidine hydrochloride
664,DIPROLENE AF
665,INTRON A
666,CELESTONE SOLUSPAN
667,DIPROLENE
668,NITRO-DUR
669,Lotrisone
670,Integrilin
671,REBETOL
672,Clarinex
673,SYLATRON
674,NASONEX
675,PEGINTRON
676,CLARINEX-D 12 HOUR
677,NOXAFIL
678,ASMANEX
679,TEMODAR
680,Avelox
681,ASMANEX HFA
682,Dulera
683,GLUCOPHAGE
684,GLUCOVANCE
685,VIDEX
686,VIDEX EC
687,Rifater
688,Allegra D-12 Hour
689,Allegra--D 24 Hour
690,ALLEGRA
691,Nilandron
692,Anzemet
693,Priftin
694,Arava
695,Lantus Solostar
696,Lantus
697,Apidra
698,Apidra SoloStar
699,Univasc
700,Tolterodine Tartrate
701,Moexipril Hydrochloride
702,Enalapril Maleate
703,Lamotrigine
704,ClomiPHENE Citrate
705,Acetaminophen and Codeine Phosphate
706,Carvedilol
707,Buspirone Hydrochloride
708,Tramadol Hydrochloride
709,Rabeprazole Sodium
710,Epitol
711,Carbamazepine
712,Estazolam
713,Naproxen
714,Venlafaxine Hydrochloride
715,Bicalutamide
716,Fluocinonide
717,Carbidopa and Levodopa
718,Clemastine Fumarate
719,Loperamide Hydrochloride
720,Ketorolac Tromethamine
721,Diltiazem Hydrochloride
722,Lovastatin
723,Albuterol Sulfate
724,Gemfibrozil
725,Flurbiprofen
726,Metoprolol Tartrate
727,Atenolol
728,Diflunisal
729,Piroxicam
730,Pravastatin Sodium
731,Tamoxifen Citrate
732,Nortriptyline Hydrochloride
733,Nifedipine
734,Clonazepam
735,Etodolac
736,Ketoconazole
737,Oxaprozin
738,Diclofenac Potassium
739,Nystatin
740,Mupirocin
741,Nabumetone
742,Nefazodone Hydrochloride
743,Diclofenac Sodium
744,Metformin Hydrochloride
745,Sotalol Hydrochloride
746,Cefprozil
747,Cefaclor
748,Acitretin
749,Penicillin V Potassium
750,Neomycin Sulfate
751,Warfarin Sodium
752,Sumatriptan
753,Azithromycin
754,Pioglitazone
755,Fenofibrate
756,Quetiapine
757,Doxazosin
758,Phentermine Hydrochloride
759,Nitrofurantoin Macrocrystals
760,Tri-Lo-Sprintec
761,Trimethoprim
762,Metoclopramide
763,Sucralfate
764,Cephalexin
765,Amoxicillin
766,Amoxicillin and Clavulanate Potassium
767,Cyproheptadine Hydrochloride
768,Methyldopa
769,Quinine Sulfate
770,Clozapine
771,Verapamil Hydrochloride
772,Rasagiline
773,Armodafinil
774,Risedronate Sodium
775,Jinteli
776,Dicloxacillin Sodium
777,Disopyramide Phosphate
778,Camrese
779,Cefdinir
780,Minocycline Hydrochloride
781,Ketoprofen
782,Cefadroxil
783,Estradiol
784,Necon 1/35
785,Reclipsen
786,Zenchent 0.4/35
787,Atomoxetine
788,Buprenorphine
789,Fluticasone Propionate and Salmeterol
790,Indomethacin
791,Prazosin Hydrochloride
792,Tobramycin
793,Levalbuterol
794,Bumetanide
795,Nadolol
796,Gabapentin
797,"Olmesartan Medoxomil, Amlodipine and Hydrochlorothiazide"
798,Tiagabine Hydrochloride
799,Dexmethylphenidate Hydrochloride
800,Pioglitazone and Metformin Hydrocholride
801,Atorvastatin Calcium
802,Hydroxyzine Hydrochloride
803,Olanzapine
804,Pentoxifylline
805,Benazepril Hydrochloride
806,Alendronate Sodium
807,OXYBUTYNIN CHLORIDE
808,Moexipril Hydrochloride and Hydrochlorothiazide
809,Almotriptan Malate
810,Bisoprolol Fumarate
811,Voriconazole
812,Methylphenidate Hydrochloride
813,Omeprazole
814,Junel Fe
815,Acamprosate Calcium
816,Progesterone
817,Abacavir and Lamivudine
818,Lamivudine and Zidovudine
819,Omega-3-Acid Ethyl Esters
820,Cabergoline
821,Gianvi
822,Mimvey Lo
823,Mimvey
824,Olanzapine and Fluoxetine
825,Sildenafil
826,BUPROBAN
827,Buprenorphine and Naloxone
828,Cyclosporine
829,Entecavir
830,Escitalopram
831,Guanfacine
832,Rivelsa
833,Fluoxetine
834,Prednisolone
835,camrese Lo
836,Adapalene
837,Esomeprazole Magnesium
838,Ipratropium Bromide and Albuterol Sulfate
839,Budesonide
840,Amlodipine and Olmesartan Medoxomil
841,"Amlodipine, Valsartan, and Hydrochlorothiazide"
842,Simvastatin
843,Celecoxib
844,Mirtazapine
845,Fosinopril Sodium
846,Glimepiride
847,Raloxifene Hydrochloride
848,Clopidogrel
849,Desmopressin Acetate
850,Topiramate
851,Lansoprazole
852,Finasteride
853,Amlodipine and Benazepril Hydrochloride
854,Moxifloxacin Hydrochloride
855,Niacin
856,Divalproex Sodium
857,Fluvastatin
858,Fluvastatin Sodium
859,Glipizide and Metformin Hydrochloride
860,Rizatriptan Benzoate
861,Duloxetine
862,Aripiprazole
863,Rosuvastatin Calcium
864,Olmesartan Medoxomil
865,Olmesartan Medoxomil and Hydrochlorothiazide
866,Dorzolamide Hydrochloride
867,Imatinib Mesylate
868,Pioglitazone and Metformin Hydrochloride
869,Olopatadine Hydrochloride
870,Amlodipine and Valsartan
871,Levocetirizine Dihydrochloride
872,Fentanyl Citrate
873,Glyburide
874,Cimetidine
875,Eletriptan Hydrobromide
876,Mexiletine Hydrochloride
877,Acyclovir
878,Amiodarone Hydrochloride
879,Silver Nitrate
880,Prochlorperazine Maleate
881,Ethosuximide
882,Cormax
883,TussiCaps
884,HYLASE Wound
885,VoSoL HC
886,VoSoL
887,Zolpimist
888,BUPAP
889,Zolmitriptan
890,Zolmitriptan Orally Disintegrating
891,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate"
892,Ezetimibe and Simvastatin
893,Pyridostigmine Bromide
894,MethylTESTOSTERone
895,Fenofibric Acid
896,Lidocaine and Prilocaine
897,Calcipotriene
898,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate"
899,Sevelamer Carbonate
900,NAFTIFINE HYDROCHLORIDE
901,URSODIOL
902,Glyburide and Metformin Hydrochloride
903,Metoclopramide Hydrochloride
904,Hydroxyzine Pamoate
905,Levalbuterol Hydrochloride
906,Epirubicin Hydrochloride
907,Budesonide Inhalation
908,Buspirone HCl
909,epinephrine
910,HYDROCORTISONE
911,Dextroamphetamine SulfateExtended-Release
912,Felbamate
913,Rimantadine Hydrochloride
914,Orphenadrine Citrate
915,TERBUTALINE SULFATE
916,MIDODRINE HYDROCHLORIDE
917,Dantrolene Sodium
918,COLESTIPOL HYDROCHLORIDE
919,Nadolol and Bendroflumethiazide
920,Bupropion Hydrochloride
921,Pilocarpine Hydrochloride
922,Fludrocortisone Acetate
923,METHITEST
924,Chlorhexidine Gluconate
925,DIPHENHYDRAMINE HYDROCHLORIDE
926,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE
927,Sodium Citrate and Citric Acid
928,AMANTADINE HYDROCHLORIDE
929,Fluphenazine Hydrochloride
930,Trihexyphenidyl Hydrochloride
931,VALPROIC ACID
932,Potassium Citrate and Citric Acid
933,TRICITRATES
934,Ranitidine
935,Prednisolone Sodium Phosphate
936,Hydrocodone Bitartrate and Acetaminophen
937,CYPROHEPTADINE
938,THEOPHYLLINE
939,Zamicet
940,Ibuprofen
941,Sulfamethoxazole and Trimethoprim
942,Hydrocodone Bitartrate and Homatropine Methylbromide
943,PreviDent
944,PreviDent 5000 Enamel Protect
945,PreviDent Alcohol Free
946,PreviDent 5000 Booster Plus Fruitastic
947,PrevidDent 5000 Booster Plus Spearmint
948,PreviDent Fresh Mint
949,Phos-Flur
950,Periogard
951,PerioGard Alcohol Free
952,PreviDent Very Berry
953,Vimpat
954,Valium
955,"Butalbital, Acetaminophen, and Caffeine"
956,Aminophylline
957,Belladonna Alkaloids with Phenobarbital
958,Captopril
959,Carisoprodol
960,Chloroquine
961,Cortisone Acetate
962,Chlorothiazide
963,Dicyclomine
964,Glycopyrrolate
965,Hydrochlorothiazide
966,Isoniazid
967,Lisinopril with Hydrochlorothiazide
968,Lisinopril
969,Methocarbamol
970,Isosorbide Mononitrate
971,Phenobarbital
972,Propylthiouracil
973,Primidone
974,Isosorbide Dinitrate
975,Isosorrbide Dinitrate
976,"Butalbital, Aspirin and Caffeine"
977,"Butalbital, Acetaminophen and Caffeine"
978,ERGOTAMINE
979,Hydroxychloroquine Sulfate
980,Isosorbide
981,"Butalbital, Acetaminophen and Caffeine with Codeine Phosphate"
982,Colchicine
983,Dicyclomine Hydrochloride
984,Doxycycline Hyclate
985,Flurazepam
986,Chloroprocaine Hydrochloride
987,Idarubicin Hydrochloride
988,Rocuronium Bromide
989,Cefazolin
990,Dihydroergotamine Mesylate
991,Sodium Ferric Gluconate Complex in Sucrose
992,AcetaZOLAMIDE
993,Ketamine Hydrochloride
994,Palonosetron Hydrochloride
995,Fluphenazine Decanoate
996,Dexmedetomidine HCl
997,Allopurinol sodium
998,Nicardipine Hydrochloride
999,Adriamycin
1000,Levoleucovorin
1001,Phentolamine Mesylate
1002,Thiotepa
1003,Azathioprine Sodium
1004,Cefuroxime
1005,Lidocaine
1006,Sertraline Hydrochloride
1007,Irinotecan Hydrochloride
1008,Paricalcitol
1009,Cyanocobalamin
1010,Labetalol Hydrochloride
1011,Valproate Sodium
1012,Zoledronic Acid
1013,MONTELUKAST
1014,Sertraline
1015,Testosterone Cypionate
1016,Cefotetan
1017,Milrinone Lactate
1018,Folic Acid
1019,Milrinone Lactate in Dextrose
1020,Levofloxacin
1021,Clonidine Hydrochloride
1022,Benztropine Mesylate
1023,Oxytocin
1024,Donepezil Hydrochloride
1025,TESTOSTERONE ENANTHATE
1026,Ceftriaxone
1027,Fosphenytoin Sodium
1028,Enalaprilat
1029,Doxycyclate Hyclate
1030,Cefoxitin
1031,Cefotaxime
1032,Zolpidem
1033,Modafinil
1034,Fabior
1035,SORIATANE
1036,SORILUX
1037,DUAC
1038,ACTONEL
1039,triamcinolone acetonide
1040,Betamethasone Valerate
1041,Betamethasone Dipropionate
1042,Fluocinolone Acetonide
1043,Gentamicin Sulfate
1044,Nystatin and Triamcinolone Acetonide
1045,Desoximetasone
1046,Clobetasol Propionate
1047,clindamycin phosphate
1048,Erythromycin
1049,Diflorasone Diacetate
1050,Clotrimazole and Betamethasone Dipropionate
1051,Alclometasone Dipropionate
1052,Mometasone Furoate
1053,Bacitracin Zinc and Polymyxin B Sulfate
1054,Amcinonide
1055,Clobetasol Propionate (emollient)
1056,desonide
1057,Econazole Nitrate
1058,ciclopirox olamine
1059,Ciclopirox
1060,NITRO-BID
1061,Terconazole
1062,Halobetasol Propionate
1063,Oxiconazole Nitrate
1064,Prednicarbate
1065,Sulfacetamide Sodium
1066,Tacrolimus
1067,imiquimod
1068,Methscopolamine Bromide
1069,Sodium Sulfacetamide
1070,Prandin
1071,Tresiba
1072,Saxenda
1073,Xultophy 100/3.6
1074,NOVOLOG
1075,NovoLog Mix 70/30
1076,Levemir
1077,Victoza
1078,Activella
1079,Vagifem
1080,GlucaGen HypoKit
1081,Norditropin
1082,Baclofen
1083,Flutamide
1084,Lisinopril and Hydrochlorothiazide
1085,Anagrelide Hydrochloride
1086,Cromolyn Sodium
1087,WELLBUTRIN
1088,ZANTAC
1089,CEFTIN
1090,BECONASE
1091,IMITREX
1092,FLOLAN
1093,Diluent
1094,SEREVENT
1095,LAMICTAL
1096,MEPRON
1097,ZYBAN
1098,AMERGE
1099,VALTREX
1100,FLOVENT
1101,EPIVIR
1102,MALARONE
1103,RELENZA
1104,VENTOLIN
1105,ADVAIR
1106,AVODART
1107,ADVAIR HFA
1108,TREXIMET
1109,VERAMYST
1110,LOVAZA
1111,JALYN
1112,POTIGA
1113,Staxyn
1114,RYTHMOL
1115,Levitra
1116,Breo Ellipta
1117,AVANDIA
1118,Tanzeum
1119,Anoro Ellipta
1120,Incruse Ellipta
1121,Arnuity Ellipta
1122,Nucala
1123,Trelegy Ellipta
1124,Ferralet 90
1125,Binosto
1126,Texacort
1127,Avar-e Green
1128,Avar-e LS
1129,Avar-e
1130,AVAR LS
1131,AVAR
1132,OVACE Plus
1133,OvacePlus
1134,OVACE
1135,Lithostat
1136,Utira-C
1137,Prednisolone Sodium Phosphate Oral Solution
1138,UROCIT-K
1139,Avar LS Cleansing Pads
1140,Avar Cleansing Pads
1141,NataFort
1142,CitraNatal Harmony 3.0
1143,Citranatal Harmony 2.1
1144,CitraNatal Harmony
1145,CitraNatal Bloom
1146,CitraNatal 90 DHA
1147,CitraNatal B-Calm
1148,CitraNatal Rx
1149,CitraNatal
1150,CitraNatal Assure
1151,CitraNatal DHA
1152,Thiola
1153,HYCOFENIX
1154,Flowtuss
1155,Tindamax
1156,Chlorthalidone
1157,LIOTHYRONINE SODIUM
1158,Clindamycin Hydrochloride
1159,Stavudine
1160,RE-PB HYOS ELIXIR
1161,Triamterene hydrochlorothiazide
1162,Renvela
1163,TEMAZEPAM
1164,cyclobenzaprine hydrochloride
1165,Fluoxetine Hydrochloride
1166,Rocaltrol
1167,benzonatate
1168,Ergotamine Tartrate and Caffeine
1169,Nuvigil
1170,PRAMIPEXOLE DIHYDROCHLORIDE
1171,DONNATAL
1172,CAFERGOT
1173,DARAPRIM
1174,RESCRIPTOR
1175,ELIPHOS
1176,Erythrocin Stearate
1177,IBU
1178,Imipramine Hydrochloride
1179,Desipramine Hydrochloride
1180,Methylergonovine Maleate
1181,Methylprednisolone
1182,LODOSYN
1183,EDECRIN
1184,Triamterene and Hydrochlorothiazide
1185,Mephyton
1186,Lialda
1187,Riluzole
1188,Lamivudine
1189,"Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate"
1190,Venlafaxine
1191,Bromocriptine Mesylate
1192,Entacapone
1193,Sulfasalazine
1194,Ergocalciferol
1195,Misoprostol
1196,Carbidopa
1197,Norethindrone Acetate
1198,amiloride hydrocloride
1199,Trazodone Hydrochloride
1200,ERY-TAB
1201,Ciprofloxacin hydrochloride
1202,Labetalol HCl
1203,fluvoxamine maleate
1204,tizanidine hydrochloride
1205,Midodrine HCl
1206,Metolazone
1207,Ticlopidine Hydrochloride
1208,Nitrofurantoin (monohydrate/macrocrystals)
1209,nizatidine
1210,Zonisamide
1211,Methimazole
1212,Benazepril Hydrochloride and Hydrochlorothiazide
1213,Fosinopril Sodium and Hydrochlorothiazide
1214,Metaxalone
1215,itraconazole
1216,Bisoprolol Fumarate and Hydrochlorothiazide
1217,Carisoprodol and Aspirin
1218,"Carisoprodol, Aspirin and Codeine Phosphate"
1219,Sulfadiazine
1220,cholestyramine light
1221,Cholestyramine
1222,Quinidine Sulfate
1223,Phendimetrazine Tartrate
1224,Eplerenone
1225,Leuprolide Acetate
1226,ATACAND
1227,ATACAND HCT
1228,SYMBICORT
1229,PRILOSEC
1230,ENTOCORT
1231,BRILINTA
1232,PULMICORT
1233,TOPROL
1234,PULMICORT RESPULES
1235,NEXIUM
1236,Siliq
1237,Virazole
1238,Ammonul
1239,Iprivask
1240,Ativan
